taxa	EarHT	dpoll	EarDia	Sim0	Sim25	Sim50	Sim75	Sim100
CMV3	32.5	59.5	NaN	108.9	107.3	99.45	107.7	92.64
CO106	34.5	55	NaN	98.95	104.0	108.1	100.9	102.8
CO125	32.13	60	31.788	94.75	100.4	103.4	104.5	94.69
CO255	38	61.5	32.06183	105.9	102.2	102.7	94.59	98.79
D940Y	74	71.5	34.624	93.12	93.01	103.7	102.9	104.9
DE2	57.5	65.5	46.353	97.96	105.2	101.2	106.7	98.79
DE3	70	65	44.496	100.2	92.41	94.90	106.5	92.64
DE1	64.5	69	44.774	103.8	98.83	105.0	102.6	102.8
DE811	80	72.5	35.45125	99.31	104.3	107.0	98.07	98.79
E2558W	59.5	67.5	37.38	107.3	92.45	96.41	98.74	102.8
EP1	37.08	62	NaN	104.9	93.47	100.2	99.10	98.79
F2834T	40	62	33.28333	103.4	106.7	108.3	101.9	98.79
F44	94	75	36.49875	100.7	104.0	92.40	103.1	98.79
F6	101.5	77	NaN	97.34	96.44	102.4	107.9	94.69
F7	27.5	58	27.689	104.1	106.6	107.1	96.66	94.69
GA209	76.33	74.5	34.958	94.29	99.45	102.3	102.4	100.8
GT112	136	78.5	NaN	99.80	99.73	96.92	99.26	102.8
H105W	44.5	61.5	40.51	102.8	102.6	102.3	94.44	96.74
H49	58	61.5	39.416	94.88	98.12	110.2	99.68	98.79
H84	48	64	41.838	107.9	106.2	104.0	100.7	102.8
H91	60	64.5	39.201	98.06	104.2	103.3	94.56	94.69
H95	55	65.5	38.834	98.21	105.7	97.59	97.09	102.8
H99	31	68.5	34.677	108.1	91.35	110.0	101.0	98.79
HI27	93.5	71	35.425	96.12	96.80	102.3	94.47	102.8
HP301	62	61.5	27.158	98.06	100.7	96.92	106.7	98.79
HY	56.5	64.5	34.823	91.87	95.12	104.4	104.8	100.8
I137TN	56.5	69	NaN	98.14	103.2	98.09	103.7	102.8
I205	55	66	NaN	99.76	100.1	98.65	100.8	90.59
I29	54	63	31.407	104.5	105.6	104.3	95.51	102.8
IA2132	43	67	35.154	111.2	100.0	102.9	95.62	102.8
IA5125	29.5	64	29.7525	105.2	103.7	105.9	95.99	98.79
IDS28	71.5	63	31.358	101.0	98.27	95.13	96.90	102.8
IDS69	44	65	24.88225	106.9	102.2	100.4	99.41	106.9
IDS91	41	62.5	27.553	100.8	99.65	101.0	104.4	104.9
IL101	31.5	65	32.357	100.6	96.22	96.23	102.0	111.0
IL14H	46	61	34.999	106.9	97.91	95.90	96.30	106.9
IL677A	45.5	64.5	36.276	103.3	105.5	89.79	102.4	111.0
K148	42	65.5	33.984	92.38	99.74	94.66	99.47	104.9
K4	70	69	36.81433	98.10	110.4	98.07	106.4	106.9
K55	43	67.5	39.8425	105.3	100.7	98.06	100.1	98.79
K64	69.25	67.5	42.828	92.93	97.95	96.80	105.8	98.79
KI11	63	74.5	40.465	98.17	97.93	104.0	101.4	92.64
KI14	95.5	78	29.192	93.05	93.78	100.4	106.6	98.79
KI2021	107	75	40.14633	106.8	98.72	97.81	108.9	106.9
KI21	87.5	70.5	40.063	107.1	100.1	98.28	100.1	98.79
KI3	57.75	72	34.7015	110.8	104.8	104.3	103.3	102.8
KI43	59	76	30.326	98.53	91.23	104.9	96.37	98.79
KI44	55	71	33.19267	105.6	90.97	93.98	100.0	94.69
KY21	76.5	70.5	38.93467	99.41	98.30	98.15	105.1	102.8
KY226	64	72.5	37.37125	99.35	98.00	102.6	95.37	98.79
KY228	58.38	75.5	NaN	101.0	90.67	100.9	105.4	98.79
L317	98	65.5	34.72825	98.86	97.50	101.4	109.0	94.69
L578	101.5	72.5	39.627	93.76	100.4	101.0	102.6	100.8
M14	35	59.5	35.6355	101.8	101.0	112.9	105.1	102.8
M162W	63.5	74.5	40.095	101.0	102.8	95.24	92.94	98.79
M37W	62.88	70	38.801	90.49	96.50	91.69	98.96	106.9
MEF156-55-2	62.5	NaN	NaN	101.5	107.5	96.40	105.9	106.9
MO17	46	59.5	33.672	101.2	100.0	91.01	110.4	106.9
MO18W	65.5	70.5	39.596	104.5	99.48	106.1	92.76	94.69
MO1W	62	65	42.972	93.33	95.12	104.6	97.47	98.79
MO24W	101.5	67.5	45.51175	103.7	85.88	103.5	108.2	104.9
MO44	46	57.5	38.022	93.52	95.27	96.21	104.3	94.69
MO45	74.33	65.5	35.389	102.8	98.29	100.0	104.5	104.9
MO46	54.5	65	39.526	101.6	103.1	96.78	92.59	100.8
MO47	36.5	59	35.91767	94.40	101.8	102.5	108.1	100.8
MOG	87.88	65	42.585	99.60	106.0	103.5	107.0	98.79
MP339	71.5	71.5	38.333	107.7	93.65	98.00	102.4	90.59
MS1334	54.5	66	30.83556	111.8	106.2	105.8	99.42	98.79
MS153	55	59	42.406	96.55	100.7	104.9	95.46	98.79
MS71	47.5	57	35.358	101.9	95.37	95.86	99.75	98.79
MT42	44.5	59	29.971	99.45	94.24	102.4	102.9	102.8
N192	42.5	57.5	40.355	100.9	98.48	100.3	108.9	94.69
N28HT	57	66.5	41.431	105.3	97.21	107.0	101.2	100.8
N6	45	61	39.82533	97.97	97.34	98.35	98.55	98.79
N7A	54.5	63.5	41.767	100.2	98.92	95.01	99.77	102.8
NC222	84.5	70.5	37.047	100.5	95.53	112.4	101.6	94.69
NC230	57	70	43.833	91.65	97.93	92.08	96.99	94.69
NC232	55	68.5	44.877	98.56	97.57	108.7	102.3	96.74
NC236	58	72.5	36.2865	102.2	105.3	101.5	97.63	94.69
NC238	43	78	38.29429	98.26	99.56	100.5	106.7	102.8
NC250	37	64	36.44	105.3	92.97	94.20	100.1	102.8
NC258	60.5	70	36.866	88.24	96.40	109.0	104.7	102.8
NC260	52.5	63	35.866	98.26	91.97	98.10	106.9	94.69
NC262	25	59	37.31	97.44	100.3	115.8	95.65	102.8
NC264	48	65	38.303	101.3	97.67	93.87	87.77	106.9
NC290A	34	61.5	40.5525	91.20	100.9	99.80	93.77	102.8
NC294	74	66.5	38.888	98.29	107.8	95.53	104.0	102.8
NC296	68.5	67	38.83125	100.7	94.61	103.5	96.36	102.8
NC296A	59.5	68.5	38.211	101.1	99.96	96.29	96.90	102.8
NC298	62	72.5	29.191	100.6	96.45	93.23	97.82	98.79
NC300	68	70	42.694	96.42	101.5	94.90	98.97	106.9
NC302	53	67.5	36.349	96.48	98.04	100.8	106.6	100.8
NC304	8	65	NaN	104.6	99.76	103.1	99.59	111.0
NC306	62.88	68	34.54667	101.9	105.0	99.09	97.13	98.79
NC310	60.5	65	41.4595	98.17	91.17	94.69	98.34	96.74
NC314	58	66	36.278	106.8	102.5	94.80	94.05	104.9
NC318	72	72	31.811	103.6	107.0	101.5	103.4	106.9
NC320	83	71.5	41.711	98.48	100.3	101.6	98.90	109.0
NC324	56.5	68	33.9025	103.4	93.75	95.20	96.78	106.9
NC326	88	67	41.2355	97.55	108.1	96.51	95.11	92.64
NC328	60	66	37.45	101.3	93.81	102.6	91.64	96.74
NC33	101	72	36.104	99.23	110.6	106.0	100.6	111.0
NC336	50.5	75.5	34.172	107.0	105.9	102.8	100.5	102.8
NC338	71.5	70	33.97	111.9	109.4	89.17	99.51	98.79
NC340	60.5	65.5	38.974	94.74	97.91	103.5	98.18	109.0
NC342	68	64.5	35.18633	97.07	94.99	104.6	95.02	102.8
NC344	63.5	70.5	38.60725	97.16	109.5	99.28	102.6	102.8
NC346	62	68	36.276	99.69	97.86	100.2	94.71	102.8
NC348	73	67	31.202	98.14	94.92	96.00	95.62	102.8
NC350	49.5	69.5	32.829	103.5	95.08	93.63	102.7	106.9
NC352	53.5	72	35.537	108.8	99.71	98.15	95.52	102.8
NC354	67	71.5	32.8105	103.0	101.6	100.7	89.82	94.69
NC356	56	66.5	34.34075	95.92	95.11	108.1	91.35	98.79
NC358	41	63	35.785	97.39	100.5	107.0	88.93	100.8
NC360	56	71.5	37.205	96.38	94.19	97.94	93.81	104.9
NC362	51.5	63	38.849	95.97	95.54	98.48	100.6	109.0
NC364	48.5	64.5	38.6825	104.3	108.1	104.0	92.09	106.9
NC366	58	72.5	35.826	89.97	112.8	109.6	109.8	98.79
NC368	64.5	69	42.06567	102.2	108.5	103.6	101.9	98.79
ND246	32.5	54.5	28.935	101.0	100.3	92.41	96.72	98.79
OH40B	51.5	67.5	34.962	101.4	95.37	98.23	111.1	106.9
OH43	45	61	37.77	103.1	96.45	94.29	101.4	102.8
OH43E	31.5	61	37.124	99.86	96.56	105.7	103.7	98.79
OH603	48.5	65.5	NaN	95.53	95.52	104.1	96.43	102.8
OH7B	87	72.5	37.535	93.65	98.42	96.03	105.9	102.8
OS420	66	60.5	39.417	97.08	99.57	99.29	96.36	102.8
P39	43.5	64	35.394	93.29	96.14	104.4	102.1	106.9
PA762	50.5	67	37.828	101.4	95.76	110.9	112.0	111.0
PA875	67	65.5	40.87967	103.3	95.64	103.4	92.99	94.69
PA880	69.5	64.5	NaN	101.8	100.2	107.3	100.3	90.59
PA91	63	68.5	36.12175	94.79	110.3	96.73	104.1	88.54
R109B	NaN	85	NaN	101.2	110.8	98.94	102.0	100.8
R168	57.92	64.5	28.88775	94.39	104.8	97.94	100.9	106.9
R177	31	61	38.019	95.31	94.92	103.7	95.30	100.8
R229	76	67	43.504	90.68	97.67	104.1	101.5	96.74
R4	48	67	37.284	96.64	101.4	95.75	103.9	94.69
SA24	60.5	65	29.11575	106.1	109.6	93.15	102.3	96.74
SC213R	67	76	34.337	98.43	108.2	91.42	106.7	111.0
SC357	55.5	74.5	34.858	107.2	99.82	98.61	109.0	102.8
SC55	128	75	41.88	100.3	99.61	102.1	97.44	96.74
SD40	46.5	60	38.5555	110.9	100.4	91.59	94.41	104.9
SD44	39	61.5	36.73775	92.81	100.3	103.3	105.0	94.69
SG1533	82.5	62.5	33.8	109.1	96.06	99.12	101.1	90.59
SG18	88.5	63.5	29.78	101.4	97.77	93.69	104.7	94.69
T232	73.5	70	35.651	100.1	105.4	104.5	97.36	98.79
T234	63.08	68.5	39.432	105.7	103.1	94.87	94.07	92.64
T8	87.75	70.5	35.29	98.22	103.1	103.4	99.92	104.9
TX303	102	71	41.5	94.74	99.12	94.54	98.57	106.9
TX601	87.63	78.5	42.91188	101.0	103.1	92.38	95.24	100.8
TZI10	81	78	33.84983	96.23	106.0	97.87	100.2	98.79
TZI11	75.5	71.5	32.988	99.73	96.01	96.63	97.79	100.8
TZI16	76.75	74	41.737	110.6	96.63	97.88	102.4	98.79
TZI18	79.38	70	39.82575	92.87	97.87	96.59	97.93	106.9
TZI25	82	72.5	38.817	100.9	99.24	106.3	96.45	90.59
TZI8	89.5	72.5	41.56075	108.8	99.79	102.3	102.4	94.69
TZI9	79	72	40.403	97.43	98.42	105.8	97.44	90.59
U267Y	53.5	75.5	35.491	99.40	95.61	96.80	98.65	102.8
VA102	47.5	65	NaN	104.7	100.7	96.04	96.21	111.0
VA14	56	66.5	36.955	110.2	108.1	102.7	90.39	102.8
VA17	49	63.5	34.376	101.4	100.6	103.7	98.95	102.8
VA22	62.5	66	36.168	99.95	104.0	95.82	91.04	102.8
VA26	41	61	37.617	107.2	94.13	106.3	103.9	102.8
VA35	52	63	40.0005	103.7	96.90	97.70	94.41	104.9
VA59	36.5	60.5	37.58	91.45	106.3	102.1	100.0	106.9
VA85	66	62.5	37.304	103.0	100.3	107.9	91.53	106.9
VA99	56	67.5	40.421	98.54	95.23	99.60	107.2	98.79
VAW6	38	62.5	35.685	101.2	89.50	99.56	98.00	100.8
W117HT	31	66	23.72333	92.63	103.8	104.6	100.0	98.79
W153R	27.5	66	NaN	100.4	97.81	95.82	107.4	98.79
W182B	46	62.5	31.492	99.36	100.2	101.4	90.57	98.79
W22R-RSTD	44	63.5	36.041	101.6	104.9	100.9	93.80	102.8
W22	35.5	58.5	35.40125	102.9	101.2	93.25	105.1	102.8
W64A	59.5	62.5	35.982	98.04	101.7	106.3	107.2	100.8
WD	48.5	62.5	30.479	95.28	92.34	98.36	102.9	102.8
WF9	52	64.5	36.61475	99.17	97.11	100.2	100.3	98.79
YU796NS	56.5	64	40.755	103.4	102.2	105.9	92.73	100.8
